ID,IPK,TAHUN LULUS,PROFESI PEKERJAAN
Alumni085,3.63,2020,Software Developer
Alumni086,3.22,2020,Software Developer
Alumni087,3.06,2020,Software Quality Assurance Engineer
Alumni088,3.89,2020,Data Scientist
Alumni089,3.07,2020,Software Quality Assurance Engineer
Alumni090,3.89,2020,Software Engineer
Alumni091,3.47,2020,Software Developer
Alumni092,3.72,2020,Software Quality Assurance Engineer
Alumni093,3.51,2020,Software Developer
Alumni094,3.11,2020,Network Security Analyst
Alumni095,3.50,2020,Software Engineer
Alumni096,3.22,2020,Software Developer
Alumni097,3.37,2020,Database Administrator
Alumni098,3.17,2020,Software Developer
Alumni099,3.54,2020,Software Developer
Alumni100,3.23,2020,Software Quality Assurance Engineer
Alumni101,3.66,2020,Software Engineer
Alumni102,3.85,2020,Database Administrator
Alumni103,3.80,2020,Software Engineer
Alumni104,3.73,2020,System Analyst
Alumni105,3.70,2020,Data Engineer
Alumni106,3.19,2020,UI/UX Designer
Alumni107,3.70,2020,Software Developer
Alumni108,3.26,2020,Software Engineer
Alumni109,3.72,2020,Software Quality Assurance Engineer
Alumni110,3.77,2020,System Analyst
Alumni111,3.44,2020,Software Engineer
Alumni112,3.27,2020,IT Project Manager
Alumni113,3.50,2020,Data Analyst
Alumni114,3.32,2020,System Analyst
Alumni115,3.34,2020,Software Engineer
Alumni116,3.45,2020,Software Quality Assurance Engineer
Alumni117,3.31,2020,Graphic Designer
Alumni118,3.77,2020,Software Developer
Alumni119,3.32,2020,UI/UX Designer
Alumni120,3.06,2020,Graphic Designer
Alumni121,3.68,2020,Software Engineer
Alumni122,3.46,2020,Software Quality Assurance Engineer
Alumni123,3.51,2020,IT Project Manager
Alumni124,3.25,2020,Software Engineer
Alumni125,3.55,2020,Data Engineer
Alumni126,3.70,2020,Software Engineer
Alumni127,3.21,2020,System Analyst
Alumni128,3.56,2020,Software Developer
Alumni129,3.58,2020,Software Developer
Alumni130,3.89,2020,Software Quality Assurance Engineer
Alumni131,3.25,2020,Product Designer
Alumni132,3.26,2020,Software Developer
Alumni133,3.22,2020,Software Developer
Alumni134,3.44,2020,UI/UX Designer
Alumni135,3.35,2020,Software Quality Assurance Engineer
Alumni136,3.23,2020,Software Engineer
Alumni137,3.71,2020,Data Engineer
Alumni138,3.33,2020,Software Developer
Alumni139,3.84,2020,Software Engineer
Alumni140,3.64,2020,Software Developer
Alumni141,3.87,2020,IT Project Manager
Alumni142,3.66,2020,IT Project Manager
Alumni143,3.65,2020,System Analyst
Alumni144,3.47,2020,Software Engineer
Alumni145,3.63,2020,Software Engineer
Alumni146,3.37,2020,Network Engineer
Alumni147,3.43,2020,Software Engineer
Alumni148,3.88,2020,Software Developer
Alumni149,2.82,2020,Software Developer
Alumni150,3.52,2020,Software Developer
Alumni151,3.33,2021,Software Engineer
Alumni152,3.19,2021,Network Engineer
Alumni153,3.73,2021,Data Analyst
Alumni154,3.45,2021,Software Engineer
Alumni155,3.66,2021,UI/UX Designer
Alumni156,3.45,2021,Software Engineer
Alumni157,3.35,2021,Software Quality Assurance Engineer
Alumni158,3.35,2021,Software Developer
Alumni159,3.62,2021,Software Developer
Alumni160,3.44,2021,Software Quality Assurance Engineer
Alumni161,3.72,2021,Data Engineer
Alumni162,3.66,2021,Software Quality Assurance Engineer
Alumni163,3.70,2021,Data Analyst
Alumni164,3.40,2021,UI/UX Designer
Alumni165,3.42,2021,IT Project Manager
Alumni166,3.63,2021,IT Project Manager
Alumni167,3.62,2021,Software Developer
Alumni168,3.70,2021,UI/UX Designer
Alumni169,3.66,2021,Network Security Engineer
Alumni170,3.07,2021,Data Analyst
Alumni171,3.65,2021,Software Developer
Alumni172,3.38,2021,Network Security Engineer
Alumni173,3.74,2021,Software Developer
Alumni174,3.30,2021,System Analyst
Alumni175,3.26,2021,Network Security Analyst
Alumni176,3.34,2021,Software Quality Assurance Engineer
Alumni177,3.55,2021,Software Quality Assurance Engineer
Alumni178,3.39,2021,Software Quality Assurance Engineer
Alumni179,3.74,2021,Software Developer
Alumni180,3.45,2021,Data Engineer
Alumni181,3.59,2021,Software Quality Assurance Engineer
Alumni182,3.82,2021,Software Quality Assurance Engineer
Alumni183,3.46,2021,Software Developer
Alumni184,3.71,2021,Software Developer
Alumni185,3.58,2021,Software Developer
Alumni186,3.40,2021,Software Quality Assurance Engineer
Alumni187,3.36,2021,UI/UX Designer
Alumni188,3.75,2021,Data Engineer
Alumni189,3.58,2021,UI/UX Designer
Alumni190,3.49,2021,Network Engineer
Alumni191,3.54,2021,Data Engineer
Alumni192,3.44,2021,Software Engineer
Alumni193,3.44,2021,Database Administrator
Alumni194,3.37,2021,Software Quality Assurance Engineer
Alumni195,3.76,2021,UI/UX Designer
Alumni196,3.27,2021,Software Developer
Alumni197,3.54,2021,Software Engineer
Alumni198,3.30,2021,Database Administrator
Alumni199,3.65,2021,Software Developer
Alumni200,3.32,2021,Software Developer
Alumni201,3.34,2021,Data Analyst
Alumni202,3.68,2021,System Analyst
Alumni203,3.62,2021,Software Developer
Alumni204,3.45,2021,Network Engineer
Alumni205,3.62,2021,Software Engineer
Alumni206,3.53,2021,Network Engineer
Alumni207,3.33,2021,Software Engineer
Alumni208,3.74,2021,System Analyst
Alumni209,3.44,2021,Software Developer
Alumni210,3.58,2021,Software Quality Assurance Engineer
Alumni211,3.49,2021,Software Developer
Alumni212,3.58,2021,Software Developer
Alumni213,3.35,2021,Graphic Designer
Alumni214,3.40,2021,Software Developer
Alumni215,3.34,2021,Software Developer
Alumni216,3.50,2021,Software Quality Assurance Engineer
Alumni217,3.42,2021,Software Quality Assurance Engineer
Alumni218,3.58,2021,UI/UX Designer
Alumni219,3.57,2021,Software Developer
Alumni220,3.21,2021,Software Engineer
Alumni221,3.59,2021,System Analyst
Alumni222,3.56,2021,Software Developer
Alumni223,3.44,2021,Software Engineer
Alumni224,3.22,2021,Database Administrator
Alumni225,3.46,2021,Software Quality Assurance Engineer
Alumni226,3.44,2021,Software Developer
Alumni227,3.30,2021,Data Engineer
Alumni228,3.52,2021,Software Engineer
Alumni229,3.48,2021,Software Developer
Alumni230,3.68,2021,Software Developer
Alumni231,3.50,2021,Software Developer
Alumni232,3.79,2021,Software Engineer
Alumni233,3.33,2021,Software Engineer
Alumni234,3.85,2021,Software Quality Assurance Engineer
Alumni235,3.34,2021,Software Developer
Alumni236,3.29,2021,Software Developer
Alumni237,3.54,2021,Data Engineer
Alumni238,3.72,2021,Software Developer
Alumni239,3.70,2021,Software Engineer
Alumni240,3.52,2021,Software Developer
Alumni241,3.42,2021,Software Quality Assurance Engineer
Alumni242,3.58,2021,Software Engineer
Alumni243,3.70,2021,UI/UX Designer
Alumni244,3.51,2021,Software Engineer
Alumni245,3.39,2021,Network Security Analyst
Alumni246,3.54,2021,Network Engineer
Alumni247,3.44,2021,Graphic Designer
Alumni248,3.30,2021,Network Security Engineer
Alumni249,3.52,2021,Software Developer
Alumni250,3.26,2021,Network Security Engineer
Alumni251,3.55,2021,Network Engineer
Alumni252,3.84,2021,Software Quality Assurance Engineer
Alumni253,3.52,2021,Software Quality Assurance Engineer
Alumni254,3.75,2021,Software Developer
Alumni255,3.25,2021,Software Developer
Alumni256,3.48,2021,Software Developer
Alumni257,3.93,2021,Data Analyst
Alumni258,3.49,2021,Product Designer
Alumni259,3.65,2021,Software Engineer
Alumni260,3.33,2021,Software Developer
Alumni261,3.55,2021,Software Developer
Alumni262,3.43,2021,Software Engineer
Alumni263,3.66,2021,Software Developer
Alumni264,3.58,2021,Software Engineer
Alumni265,3.28,2021,System Analyst
Alumni266,3.34,2021,System Analyst
Alumni267,3.31,2021,Software Engineer
Alumni268,3.28,2021,Network Security Analyst
Alumni269,2.95,2021,Software Engineer
Alumni270,3.70,2021,Data Analyst
Alumni271,3.58,2021,Software Developer
Alumni272,3.88,2021,Software Quality Assurance Engineer
Alumni273,3.53,2021,Database Administrator
Alumni274,3.48,2021,System Analyst
Alumni275,3.51,2021,Software Quality Assurance Engineer
Alumni276,3.46,2021,Network Security Analyst
Alumni277,3.63,2021,Software Developer
Alumni278,3.36,2021,Software Developer
Alumni279,3.93,2021,Software Developer
Alumni280,3.83,2021,Software Developer
Alumni281,3.26,2021,Software Quality Assurance Engineer
Alumni282,3.53,2021,Software Engineer
Alumni283,3.17,2021,Software Developer
Alumni284,3.61,2022,Software Quality Assurance Engineer
Alumni285,3.62,2022,IT Project Manager
Alumni286,3.18,2022,Software Engineer
Alumni287,3.70,2022,Software Developer
Alumni288,3.45,2022,System Analyst
Alumni289,3.20,2022,Software Engineer
Alumni290,3.47,2022,Software Quality Assurance Engineer
Alumni291,3.84,2022,UI/UX Designer
Alumni292,3.56,2022,Software Engineer
Alumni293,3.69,2022,Data Engineer
Alumni294,3.29,2022,Software Quality Assurance Engineer
Alumni295,3.13,2022,Software Engineer
Alumni296,3.25,2022,IT Project Manager
Alumni297,3.29,2022,Database Administrator
Alumni298,3.85,2022,Data Analyst
Alumni299,3.46,2022,Software Engineer
Alumni300,3.83,2022,Software Developer
Alumni301,3.82,2022,System Analyst
Alumni302,3.40,2022,Software Developer
Alumni303,3.59,2022,Software Quality Assurance Engineer
Alumni304,3.60,2022,Data Analyst
Alumni305,3.27,2022,IT Project Manager
Alumni306,3.88,2022,Data Analyst
Alumni307,3.51,2022,Software Quality Assurance Engineer
Alumni308,3.36,2022,Software Quality Assurance Engineer
Alumni309,3.68,2022,Software Developer
Alumni310,3.15,2022,Software Developer
Alumni311,3.63,2022,IT Project Manager
Alumni312,3.56,2022,Software Quality Assurance Engineer
Alumni313,3.59,2022,UI/UX Designer
Alumni314,3.55,2022,IT Project Manager
Alumni315,3.49,2022,Software Developer
Alumni316,3.36,2022,Software Engineer
Alumni317,3.79,2022,Software Developer
Alumni318,3.68,2022,Software Quality Assurance Engineer
Alumni319,3.77,2022,Data Analyst
Alumni320,3.42,2022,Software Developer
Alumni321,3.36,2022,Software Quality Assurance Engineer
Alumni322,3.55,2022,Software Developer
Alumni323,3.45,2022,Software Developer
Alumni324,3.59,2022,Network Security Analyst
Alumni325,3.97,2022,Software Engineer
Alumni326,3.48,2022,System Analyst
Alumni327,3.74,2022,Software Quality Assurance Engineer
Alumni328,3.86,2022,Software Developer
Alumni329,3.54,2022,Software Developer
Alumni330,3.82,2022,Software Developer
Alumni331,3.37,2022,UI/UX Designer
Alumni332,3.53,2022,Software Developer
Alumni333,3.39,2022,Network Security Analyst
Alumni334,3.79,2022,IT Project Manager
Alumni335,3.81,2022,Data Scientist
Alumni336,3.86,2022,Data Analyst
Alumni337,3.59,2022,Software Developer
Alumni338,2.96,2022,Software Engineer
Alumni339,3.76,2022,Software Engineer
Alumni340,3.41,2022,Software Quality Assurance Engineer
Alumni341,3.67,2022,System Analyst
Alumni342,3.88,2022,Software Engineer
Alumni343,3.60,2022,Software Engineer
Alumni344,3.01,2022,Network Engineer
Alumni345,3.59,2022,IT Project Manager
Alumni346,3.67,2022,Software Quality Assurance Engineer
Alumni347,3.60,2022,Software Engineer
Alumni348,3.58,2022,Database Administrator
Alumni349,3.63,2022,Software Developer
Alumni350,3.67,2022,Software Engineer
Alumni351,3.78,2022,IT Project Manager
Alumni352,3.72,2022,System Analyst
Alumni353,3.17,2022,Graphic Designer
Alumni354,3.55,2022,Software Developer
Alumni355,3.64,2022,Software Developer
Alumni356,3.10,2022,Graphic Designer
Alumni357,3.35,2022,Software Engineer
Alumni358,3.59,2022,Software Developer
Alumni359,3.55,2022,Graphic Designer
Alumni360,3.44,2022,Software Developer
Alumni361,3.54,2022,Software Developer
Alumni362,3.80,2022,Software Engineer
Alumni363,3.53,2022,IT Project Manager
Alumni364,3.82,2022,Software Engineer
Alumni365,3.45,2022,System Analyst
Alumni366,3.86,2022,Data Engineer
Alumni367,3.65,2022,Software Developer
Alumni368,3.84,2022,IT Project Manager
Alumni369,3.53,2022,Software Quality Assurance Engineer
Alumni370,3.37,2022,Data Analyst
Alumni371,3.40,2022,Software Quality Assurance Engineer
Alumni372,3.66,2022,Software Developer
Alumni373,3.80,2022,Data Analyst
Alumni374,3.53,2022,IT Project Manager
Alumni375,3.49,2022,Software Engineer
Alumni376,3.66,2022,Network Security Analyst
Alumni377,3.53,2022,Software Engineer
Alumni378,3.87,2022,Database Administrator
Alumni379,3.50,2022,UI/UX Designer
Alumni380,3.53,2022,Software Developer
Alumni381,3.17,2022,Software Developer
Alumni382,3.46,2022,Software Engineer
Alumni383,3.38,2022,Graphic Designer
Alumni384,3.45,2022,Software Developer
Alumni385,3.73,2022,Software Engineer
Alumni386,3.48,2022,Software Developer
Alumni387,3.54,2022,Software Developer
Alumni388,3.59,2022,Software Engineer
Alumni389,3.26,2022,Software Developer
Alumni390,3.11,2022,Data Analyst
Alumni391,3.67,2022,Data Scientist
Alumni392,3.65,2022,Data Analyst
Alumni393,3.55,2022,Software Engineer
Alumni394,3.86,2022,Software Engineer
Alumni395,3.60,2022,Software Developer
Alumni396,3.48,2022,Data Analyst
Alumni397,3.55,2022,Software Developer
Alumni398,3.65,2022,Data Analyst
Alumni399,3.89,2022,Data Analyst
Alumni400,3.43,2022,Software Developer
Alumni401,3.59,2022,Software Developer
Alumni402,3.46,2022,Software Developer
Alumni403,3.54,2022,System Analyst
Alumni404,3.36,2023,Network Security Analyst
Alumni405,3.73,2023,Software Engineer
Alumni406,3.71,2023,Software Developer
Alumni407,3.83,2023,Software Developer
Alumni408,3.84,2023,Software Engineer
Alumni409,3.48,2023,Software Developer
Alumni410,3.86,2023,Network Security Analyst
Alumni411,3.95,2023,Software Developer
Alumni412,3.78,2023,Data Analyst
Alumni413,3.91,2023,Software Engineer
Alumni414,3.57,2023,Software Developer
Alumni415,3.68,2023,Software Developer
Alumni416,3.46,2023,Network Security Analyst
Alumni417,3.77,2023,Software Developer
Alumni418,3.68,2023,Software Developer
Alumni419,3.72,2023,Data Analyst
Alumni420,3.51,2023,Cyber Security Analyst
Alumni421,3.43,2023,System Analyst
Alumni422,3.88,2023,Software Engineer
Alumni423,3.84,2023,Data Analyst
Alumni424,3.89,2023,Software Engineer
Alumni425,3.30,2023,Software Engineer
Alumni426,3.83,2023,Cyber Security Analyst
Alumni427,3.70,2023,Software Developer
Alumni428,3.70,2023,Network Security Engineer
Alumni429,3.78,2023,Software Engineer
Alumni430,3.80,2023,Software Developer
Alumni431,3.74,2023,Network Engineer
Alumni432,3.88,2023,Software Developer
Alumni433,3.84,2023,Network Engineer
Alumni434,3.81,2023,Software Developer
Alumni435,3.67,2023,Network Engineer
Alumni436,3.52,2023,Software Developer
Alumni437,3.59,2023,Software Engineer
Alumni438,3.83,2023,Software Quality Assurance Engineer
Alumni439,3.55,2023,Software Developer
Alumni440,3.74,2023,Software Engineer
Alumni441,3.94,2023,Software Developer
Alumni442,3.57,2023,System Analyst
Alumni443,3.68,2023,Software Developer
Alumni444,3.86,2023,Software Developer
Alumni445,3.20,2023,Software Developer
Alumni446,3.88,2023,Software Developer
Alumni447,3.76,2023,Software Developer
Alumni448,3.80,2023,Software Engineer
Alumni449,3.94,2023,Software Quality Assurance Engineer
Alumni450,3.90,2023,Software Engineer
Alumni451,3.75,2023,Software Engineer
Alumni452,3.85,2023,Software Developer
Alumni453,3.88,2023,Software Developer
Alumni454,3.72,2023,Software Developer
Alumni455,3.70,2023,Data Analyst
Alumni456,3.86,2023,Software Developer
Alumni457,3.70,2023,Software Engineer
Alumni458,3.70,2023,Software Quality Assurance Engineer
Alumni459,3.88,2023,Software Engineer
Alumni460,3.49,2023,Software Quality Assurance Engineer
Alumni461,3.71,2023,Software Developer
Alumni462,3.51,2023,Software Developer
Alumni463,3.85,2023,Software Engineer
Alumni464,3.59,2023,Graphic Designer
Alumni465,3.68,2023,Software Developer
Alumni466,3.52,2023,Graphic Designer
Alumni467,3.65,2023,Software Developer
Alumni468,3.37,2023,Software Quality Assurance Engineer
Alumni469,3.81,2023,Data Analyst
Alumni470,3.92,2023,Software Quality Assurance Engineer
Alumni471,3.91,2023,Software Developer
Alumni472,3.79,2023,Software Developer
Alumni473,3.82,2023,Network Security Engineer
Alumni474,3.76,2023,Data Analyst
Alumni475,3.19,2023,Graphic Designer
Alumni476,3.98,2023,Software Developer
Alumni477,3.83,2023,Database Administrator
Alumni478,3.73,2023,Data Analyst
Alumni479,3.49,2023,Data Scientist
Alumni480,3.67,2023,UI/UX Designer
Alumni481,3.87,2023,Data Analyst
Alumni482,3.43,2023,Data Engineer
Alumni483,3.74,2023,Software Developer
Alumni484,3.77,2023,Software Developer
Alumni485,3.89,2023,Software Developer
Alumni486,3.97,2023,Software Developer
Alumni487,3.70,2023,Software Quality Assurance Engineer
Alumni488,3.87,2023,Software Engineer
Alumni489,3.62,2023,Software Engineer
Alumni490,3.48,2023,System Analyst
Alumni491,3.70,2023,Software Quality Assurance Engineer
