NPM,IPK,Klasifikasi Profesi,ALGORITMA DAN PEMROGRAMAN 1,ALGORITMA DAN PEMROGRAMAN 2,ALGORITMA DAN PEMROGRAMAN 3,ALGORITMA DAN PENGOLAHAN PARALEL,ALGORITMA DEEP LEARNING,ARSITEKTUR KOMPUTER,BAHASA INDONESIA,BAHASA INGGRIS 1,BAHASA INGGRIS 2,BAHASA INGGRIS BISNIS 1,BAHASA INGGRIS BISNIS 2,BISNIS INFORMATIKA,COMPUTER VISION,DISAIN PEMODELAN GRAFIK,FISIKA DAN KIMIA DASAR 1,FISIKA DAN KIMIA DASAR 2,FORENSIK TEKNOLOGI INFORMASI,GRAFIK KOMPUTER 1,GRAFIK KOMPUTER 2,ILMU BUDAYA DASAR,ILMU SOSIAL DASAR,INFORMATIKA KESEHATAN,INTERAKSI MANUSIA DAN KOMPUTER,JARINGAN KOMPUTER,JARINGAN KOMPUTER LANJUT,KECERDASAN BUATAN,KOMPUTASI BIG DATA,KOMPUTASI MODERN,KONSEP DATA MINING,KONSEP TEKNOLOGI INFORMASI,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,MATEMATIKA DASAR 1,MATEMATIKA DASAR 2,MATEMATIKA INFORMATIKA 1,MATEMATIKA INFORMATIKA 2,MATEMATIKA INFORMATIKA 3,MATEMATIKA INFORMATIKA 4,MATEMATIKA LANJUT 1,MATEMATIKA LANJUT 2,ORGANISASI SISTEM KOMPUTER,PEMODELAN DAN SIMULASI,PEMROGRAMAN BERBASIS OBJEK,PEMROGRAMAN JARINGAN,PEMROGRAMAN MULTIMEDIA,PEMROGRAMAN WEB,PENDIDIKAN AGAMA BUDDHA,PENDIDIKAN AGAMA HINDU,PENDIDIKAN AGAMA ISLAM,PENDIDIKAN AGAMA KATHOLIK,PENDIDIKAN AGAMA KRISTEN,PENDIDIKAN KEWARGANEGARAAN,PENDIDIKAN PANCASILA,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,PENGANTAR WEB SCIENCE,PENGELOLAAN PROYEK PERANGKAT LUNAK,PENGOLAHAN CITRA,PENULISAN ILMIAH / KERJA PRAKTEK,PERANCANGAN DAN ANALISA ALGORITMA,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,PRAKTIKUM FISIKA DASAR,PRAKTIKUM KOMPUTASI BIG DATA,PRAKTIKUM ROBOTIKA CERDAS,PRAKTIKUM TEKNOLOGI KECERDASAN ARTIFISIAL,PRAKTIKUM TERAPAN TEORI GRAF,REKAYASA KOMPUTASIONAL,REKAYASA PERANGKAT LUNAK 1,REKAYASA PERANGKAT LUNAK 2,RISET OPERASIONAL,ROBOTIKA CERDAS,SISTEM BASIS DATA 1,SISTEM BASIS DATA 2,SISTEM BERKAS,SISTEM INFORMASI,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,SISTEM INFORMASI MANAJEMEN,SISTEM KEAMANAN KOMPUTER,SISTEM MULTIMEDIA,SISTEM OPERASI,SISTEM TERDISTRIBUSI,SKRIPSI / EVALUASI KOMPREHENSIF,STATISTIKA 1,STATISTIKA 2,STRUKTUR DATA,TEKNIK KOMPILASI,TEKNOLOGI GAME,TEKNOLOGI KECERDASAN ARTIFICIAL,TEORI BAHASA DAN OTOMATA,TERAPAN TEORI GRAF
51414049,3.19,Mobile App Developer,4,4,3,2,3,3,3,2,3,4,4,4,0,3,4,3,3,3,3,4,3,3,4,3,3,4,0,4,3,3,2,3,2,4,3,2,3,3,4,3,3,3,3,3,3,0,0,3,0,0,4,4,2,4,4,3,3,3,4,4,3,2,3,0,0,0,0,3,4,3,3,0,4,3,4,3,4,2,3,3,3,3,3,4,2,4,3,3,0,3,0
51414092,3.57,Software Quality Engineer,4,3,3,3,4,4,4,2,4,4,2,3,0,4,4,3,4,4,3,3,4,4,3,3,3,4,0,4,0,4,4,4,3,4,3,3,4,3,3,3,4,3,4,0,4,0,0,3,0,0,4,4,3,4,4,4,3,4,4,4,4,4,4,0,0,0,0,4,4,3,2,0,4,4,4,3,3,4,4,2,3,0,4,4,4,4,4,4,0,3,0
51414196,3.31,Data Engineer,4,3,3,3,3,3,3,3,3,4,4,3,0,3,3,4,3,4,2,2,3,2,3,3,4,4,0,4,4,3,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,0,0,3,0,0,3,4,4,3,4,4,3,4,3,2,3,2,3,0,0,0,0,3,4,2,2,0,4,4,3,4,3,4,4,3,3,3,4,4,3,4,3,4,0,3,0
51414598,3.32,Graphic Designer,4,3,4,3,2,3,4,4,3,4,3,4,0,4,4,4,3,3,3,4,4,3,3,3,3,3,0,4,3,4,3,4,4,3,3,3,3,4,3,3,3,4,3,4,4,0,0,3,0,0,3,3,4,3,4,4,2,3,3,3,3,3,3,0,0,0,0,3,4,3,3,0,4,3,3,3,4,4,3,2,3,3,4,4,3,3,4,4,0,3,0
51414845,3.2,Software Quality Assurance,3,3,3,3,4,3,4,2,2,3,3,4,0,4,4,4,3,3,3,3,4,2,4,3,3,3,0,4,4,3,2,4,3,3,3,4,3,3,2,3,3,4,3,3,3,0,0,3,0,0,3,3,4,3,4,4,3,4,3,2,3,3,3,0,0,0,0,2,4,3,3,0,3,3,3,3,4,4,3,2,3,3,4,3,2,4,4,3,0,3,0
51415218,3.6,Software Quality Assurance,4,3,4,4,4,4,4,3,4,4,4,4,0,4,4,4,4,3,3,4,4,4,2,4,3,4,0,3,4,4,4,3,3,4,4,3,4,2,3,3,4,4,3,2,4,0,0,4,0,0,4,4,4,4,4,4,3,4,4,4,3,4,3,0,0,0,0,3,4,3,3,0,4,3,4,3,4,4,2,3,3,4,4,4,3,4,4,4,0,4,0
51415426,3.36,Software Quality Assurance,3,3,4,3,4,4,2,4,2,3,4,4,0,4,4,4,4,3,4,3,4,3,2,3,3,4,0,3,4,4,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3,0,0,0,0,4,4,4,1,4,3,4,2,4,4,3,3,3,4,0,0,0,0,3,4,3,3,0,4,3,3,3,3,4,2,4,3,4,4,2,3,2,4,4,0,2,0
51415973,3.62,IT Lecturer,4,3,4,2,3,4,4,4,3,3,3,4,0,3,4,4,3,4,3,4,4,3,4,4,4,3,0,3,0,4,4,4,2,4,3,2,4,3,4,4,4,4,4,0,4,0,0,4,0,0,4,4,4,4,4,3,4,4,4,4,3,4,3,0,0,0,0,4,4,2,3,0,4,4,3,3,4,2,4,4,4,0,4,1,4,4,4,4,0,2,0
51416193,3.54,Full Stack Developer,3,3,3,4,4,4,3,4,4,3,3,3,0,3,4,4,3,3,3,3,2,2,3,4,3,4,0,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,0,0,3,0,0,3,3,3,4,4,3,3,4,4,4,3,4,3,0,0,0,0,3,3,4,3,0,4,4,3,4,3,3,4,3,4,4,4,4,3,4,4,1,0,4,0
51416471,3.21,IT Entrepreneur,3,3,3,2,3,4,2,3,3,3,3,3,0,3,3,2,4,3,3,4,3,3,3,4,3,4,0,4,4,4,4,4,4,3,3,4,2,2,3,4,3,4,2,4,2,0,0,3,0,0,4,3,4,3,4,3,2,4,3,3,3,3,3,0,0,0,0,3,3,3,4,0,4,3,3,3,3,4,3,3,4,4,4,4,2,3,2,4,0,4,0
51416604,3.15,Front End Developer,3,3,3,3,3,3,3,4,4,4,4,4,0,4,4,4,3,1,2,3,3,3,3,3,2,4,0,4,4,4,3,2,4,4,4,3,4,3,4,3,2,3,2,3,2,0,0,0,0,3,4,3,4,4,4,4,3,4,4,3,3,3,3,0,0,0,0,1,3,3,2,0,2,3,3,3,4,3,2,2,3,3,4,4,3,4,2,4,0,4,0
51416751,3.8,Software Engineer,4,4,4,4,4,4,3,4,3,4,4,4,0,4,4,4,4,3,3,4,4,3,3,3,4,4,0,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,3,0,0,4,4,4,4,4,4,3,4,4,4,4,4,4,0,0,0,0,4,4,3,4,0,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,0,4,0
51417061,3.7,UI/UX Designer,4,3,4,4,4,4,4,3,4,4,3,4,0,4,4,4,4,3,4,4,4,4,3,4,4,4,0,4,4,4,4,3,2,4,3,4,3,4,4,3,4,4,1,4,4,0,0,4,0,0,4,3,4,4,4,4,3,4,3,4,3,4,4,0,4,0,0,3,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,0,4,0
51417125,3.07,Data Analyst,3,3,3,4,3,3,3,2,4,4,4,4,0,4,2,1,4,3,3,4,4,4,2,4,3,3,0,3,3,3,4,3,4,2,2,2,2,2,2,2,2,3,2,4,3,0,0,3,0,0,4,3,4,4,3,4,1,4,3,3,3,3,2,0,4,0,0,3,4,3,2,3,3,3,2,2,2,3,4,2,4,4,4,3,4,3,3,4,0,4,0
51417792,3.59,Software Quality Assurance,4,3,3,4,4,4,4,4,4,4,4,4,0,3,2,3,4,4,4,4,4,4,3,4,4,3,0,4,0,3,4,3,3,3,3,3,4,4,3,4,4,3,4,0,4,0,0,4,0,0,4,3,3,3,4,4,3,4,4,3,3,3,3,0,4,0,0,3,4,4,4,4,4,4,4,3,3,4,4,3,3,0,4,4,3,3,4,3,0,4,0
51417855,3.71,Full Stack Developer,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,4,4,4,4,4,3,3,4,4,4,0,4,0,3,4,3,3,4,3,3,4,4,3,3,4,4,4,0,4,0,0,4,0,0,4,2,3,4,4,4,4,4,4,4,3,4,2,0,3,0,0,4,4,4,3,4,4,4,4,4,3,4,4,4,3,0,4,4,3,3,4,4,0,3,0
51418507,3.68,Web Developer,4,4,3,3,4,4,4,3,3,4,4,4,0,4,3,3,4,4,4,4,4,4,4,3,0,4,4,4,0,3,3,3,3,4,4,4,4,3,3,3,4,4,3,0,4,0,0,4,0,0,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,0,4,4,4,4,4,3,0,4,4
51418977,3.68,Software Quality Assurance,4,3,4,3,4,4,4,4,4,4,4,4,0,4,4,3,4,4,4,4,3,4,4,3,0,4,4,3,3,3,4,4,3,4,3,4,3,4,4,3,4,4,4,3,4,0,0,3,0,0,4,3,3,4,4,4,4,4,4,3,3,4,3,4,3,0,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,0,4,4
51419482,3.72,Data Analyst,3,4,3,3,4,4,4,3,4,4,4,4,0,4,4,4,4,4,4,3,4,4,4,4,0,0,4,4,4,4,4,3,3,4,3,3,4,3,3,4,3,4,4,0,3,0,0,4,0,0,3,3,3,4,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,4,4,4,3,4,4,4,4,4
51419646,3.88,Software Engineer,4,4,4,3,4,4,4,4,4,4,4,4,0,3,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,0,4,0,0,4,0,0,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
52414214,3.41,Network Engineer,3,3,3,4,4,4,4,4,3,4,3,3,0,4,4,2,4,3,2,4,4,3,3,3,4,4,0,4,4,4,4,2,4,4,2,2,4,2,3,3,3,3,4,4,4,0,0,4,0,0,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,3,4,3,4,0,3,3,3,3,2,4,3,4,3,4,4,4,4,3,3,4,0,3,0
52414454,3.51,Software Quality Assurance,4,3,4,3,4,4,4,3,4,4,4,4,0,4,4,4,4,4,3,4,4,3,3,3,3,4,0,3,0,4,3,3,3,4,3,3,4,3,4,4,4,3,2,0,4,0,0,3,0,0,4,3,3,4,4,1,4,4,4,3,3,3,3,0,0,0,0,3,4,3,4,0,4,3,3,3,4,4,4,2,3,0,4,4,4,3,4,4,0,3,0
52414597,3.61,Software Quality Assurance,3,4,4,3,4,4,4,4,4,4,3,4,0,2,3,3,4,4,4,4,4,3,3,3,3,4,0,4,0,4,4,3,2,4,4,4,4,4,4,3,4,3,4,0,4,0,0,3,0,0,3,4,4,3,3,4,4,4,4,4,4,4,4,0,0,0,0,4,4,3,3,0,4,3,4,3,4,4,3,4,3,0,4,4,4,4,4,3,0,3,0
52414708,3.67,Software Engineer,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,3,4,4,3,3,4,3,4,0,3,0,4,4,2,3,4,3,4,4,4,4,4,4,4,2,0,4,0,0,3,0,0,4,4,4,4,4,3,2,4,4,4,3,4,4,0,0,0,0,3,4,4,2,0,4,4,3,3,4,4,4,3,3,0,4,4,4,4,4,4,0,3,0
52415341,3.38,Data Analyst,3,3,3,3,4,4,3,4,3,4,3,4,0,4,4,3,3,3,3,3,4,3,4,4,3,4,0,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,0,0,3,0,0,3,3,4,3,4,4,3,4,4,3,3,3,4,0,0,0,0,3,4,3,3,0,3,4,3,4,3,3,4,3,3,3,4,4,3,3,3,3,0,3,0
52415428,3.26,Software Engineer,3,3,4,3,4,3,3,3,3,3,4,4,0,3,3,2,4,3,2,4,4,3,3,3,3,4,0,4,3,3,3,3,3,4,2,3,3,4,4,3,3,4,2,4,3,0,0,3,0,0,4,3,3,4,4,4,3,4,4,3,3,3,3,0,0,0,0,4,3,2,3,0,3,3,3,3,4,3,3,3,3,3,4,3,4,4,3,4,0,3,0
52415447,3.26,DevOps Engineer,4,4,4,3,4,4,3,2,3,3,3,4,0,3,2,3,3,4,3,2,4,2,3,3,4,3,0,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,0,0,2,0,0,3,3,4,4,3,3,4,4,3,3,3,3,3,0,0,0,0,2,3,3,3,0,3,4,4,3,3,3,3,3,3,4,4,4,3,4,3,3,0,3,0
52415625,3.45,Software Quality Assurance,4,3,4,3,4,4,3,2,3,4,3,4,0,3,4,4,4,3,3,4,3,3,2,3,4,4,0,4,0,3,4,2,2,3,4,4,4,4,4,3,4,4,2,0,3,0,0,0,0,4,4,4,4,4,4,3,3,4,4,3,3,3,3,0,0,0,0,3,4,3,4,0,4,3,3,3,4,3,3,2,3,0,4,4,4,4,4,4,0,3,0
52415711,3.26,Software Quality Assurance,3,3,3,3,4,3,3,3,3,4,4,4,0,4,3,3,4,3,2,3,4,2,4,4,3,3,0,4,4,3,3,4,2,3,3,3,4,4,3,3,4,4,2,3,3,0,0,3,0,0,3,3,3,3,4,4,2,4,4,3,2,4,2,0,0,0,0,2,4,3,4,0,4,3,3,3,3,2,3,3,3,3,4,4,2,3,3,4,0,4,0
52416402,3.7,Data Engineer,4,4,4,4,4,4,3,4,4,4,4,4,0,4,4,4,4,3,3,4,4,4,3,3,3,4,0,4,0,4,3,4,4,4,4,3,3,4,3,4,3,3,4,0,4,0,0,0,0,4,4,4,4,4,4,4,3,4,4,4,3,3,4,0,0,0,0,3,4,4,4,0,4,4,3,4,4,2,3,4,3,0,4,4,3,4,4,4,0,4,0
